Partidos,Alte. Brown,Avellaneda,Berazategui,Berisso,CABA Centro,CABA Norte,CABA Oeste,CABA Sur,Campana,Ca�uelas,Coronel Brandsen,E. Etcheverr�a,Ensenada,Escobar,Exaltaci�n De La Cruz,Ezeiza,Florencio Varela,General Las Heras,General Rodriguez,General San Martin,Hurlingham,Ituzaingo,Jose C. Paz,La Matanza,La Plata,Lanus,Lomas De Zamora,Lujan,Malvinas Argentinas,Marcos Paz,Mercedes,Merlo,Moreno,Moron,Pilar,Pte. Peron,Quilmes,San Fernando,San Isidro,San Miguel,San Vicente,Tigre,Tres De Febrero,Vicente Lopez,Zarate
Alte. Brown,450542,7183,815,,29648,5400,8324,3885,,,313,13309,85,283,,2705,8518,,,1591,73,318,88,2915,307,10069,64993,,505,,,460,,723,,9773,17243,,72,81,2470,,100,795,
Avellaneda,7282,274535,3947,301,59071,4099,19407,6452,,,,1821,,208,,1090,5880,,,710,,,,4209,1351,35513,13234,,,,,326,146,387,570,281,37177,153,1035,137,,233,510,891,
Berazategui,953,3680,322387,,18577,2023,6666,1145,,116,,229,,98,,613,19000,,,153,,,,73,2871,1941,1034,,,,,293,561,,,59,34067,,323,,,243,215,528,240
Berisso,,,,,,,,,,,,,,,,,142,,,,,,,,,301,,,,,,,,,,,,,,,,,,,
CABA Centro,30706,58860,17522,,770365,193071,371164,98660,295,517,,10808,,6121,263,8148,15933,288,,18600,6991,7055,4867,68067,,54177,40215,236,8220,143,,15584,12378,17564,14045,3008,42519,7774,29752,6889,,7766,21233,38280,
CABA Norte,5765,5305,2772,,222948,588165,201438,111604,,,,2220,,3585,,3637,4272,,,29742,5025,2816,3944,25482,494,7559,9348,693,12375,,,8031,6192,10336,7321,769,5862,5850,21210,8746,,11891,11925,60703,
CABA Oeste,7998,20442,7119,,380039,189948,941829,170587,635,256,,4902,,4425,327,3490,5536,,,27385,8715,7010,4926,75613,225,21667,24281,687,4335,,,20518,10418,19733,1124,1085,12011,4667,8632,4039,214,5972,44102,22060,
CABA Sur,3365,4139,336,,73751,23345,153950,366322,266,,,2765,87,,,875,1832,,407,4495,1156,1350,550,78095,276,9421,13158,269,,,,4974,2353,8016,,435,2434,550,2514,1303,,1271,10287,1784,
Campana,,,,,295,,635,266,,,,,,2366,,,,,,123,,,,171,,,386,,,,,100,86,,155,,,,,,,370,,896,
Ca�uelas,,,116,,517,,256,,,,,342,,,,1281,168,108,,,,,,498,,,248,,,,,,172,,,,,,,,,,,,
Coronel Brandsen,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Etcheverr�a,13705,1986,229,,10830,1517,5050,3215,,342,,274551,,698,,17745,504,,,382,88,329,199,5744,1185,5356,26142,,,,,528,,300,178,617,827,,185,372,,414,185,187,
Ensenada,85,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escobar,283,208,98,,5889,1542,5746,1371,2366,,,478,,208299,207,59,,,,1357,110,,968,240,,364,439,,4115,,,,564,185,28921,,377,1641,5036,95,,11080,,3209,173
Exaltaci�n De La Cruz,,,,,263,,,,,,,,,282,,,,,,,,,,,,,,,223,,,,,,381,,,,327,,,,,,
Ezeiza,3383,964,715,,6160,2495,3832,1902,,1281,,17845,,59,,131057,447,,,630,98,172,,3320,152,1775,4122,,64,,,582,575,1019,,162,124,,178,222,,188,704,349,
Florencio Varela,9245,5886,19012,142,15957,3295,6187,2415,,168,,504,,,,447,255832,,,499,,97,,222,3456,2032,2592,,136,,,,,,,,28865,102,,124,205,,,530,
General Las Heras,,,,,288,,233,,,108,,,,,,,,,,,,,,,,,,,120,,,,194,,,,,,,,,,,,
General Rodriguez,,,139,,,,,259,,,,230,,,,,,,230,145,88,705,,292,,,,,115,,,689,4038,176,148,,585,,,107,,121,,,
Hurlingham,73,,,,6343,2995,8889,2798,,,,88,,110,,98,,,88,3277,113474,3699,1126,3997,525,403,292,228,627,148,,1435,1377,22655,585,,130,350,952,5274,,101,4940,1088,
Ituzaingo,318,,,,7468,2381,7096,1593,,,,329,,,,172,97,,609,1086,3982,117888,,5499,453,69,66,369,,,,17906,4977,31315,618,,,184,684,1675,,708,1293,525,
Jose C. Paz,88,,,,4647,3098,4994,1481,,,,,,916,,,,,,4102,1126,,192705,992,,,127,338,11290,,,683,7082,1078,4595,,,786,962,28067,,3865,1891,1529,
La Matanza,2829,4692,73,,66559,22329,76595,79605,171,498,,5131,,103,,3929,222,,292,4872,4232,5527,595,1439104,,3367,5589,252,1622,203,,15866,5851,60809,1177,231,1743,603,2224,2102,516,3869,19901,5736,
La Plata,307,1507,2871,,472,,225,769,,,,1185,,,,152,3456,,,120,525,83,,,498,156,266,,,,,,375,370,,39,3197,,507,,,125,,185,
Lanus,10848,37959,2158,,52104,6602,21842,8949,,,,5329,,364,,2013,2032,,,272,244,69,,2854,291,467886,53932,,,119,,353,308,497,966,1555,9671,210,542,862,234,581,157,1467,
Lomas De Zamora,62982,13714,1457,,38527,7194,24296,15826,238,248,,26297,,606,,4753,2340,,,577,292,66,269,5666,266,53556,614983,,,,,980,233,95,,2406,8519,,384,344,550,366,71,1259,
Lujan,,,,,,693,687,269,,,,,,,,,,,96,,228,273,338,,,,236,,166,,,2467,1266,,571,,,,,138,,178,,,
Malvinas Argentinas,505,,,,7730,9139,4259,3128,,,,,,4144,505,64,136,120,115,2975,777,,11665,1303,,,142,100,243464,,,569,1880,884,13668,,149,1466,9402,22167,,17117,751,12100,
Marcos Paz,,,,,143,,,,,,,,,,,,,,,,,,,351,,119,,,,240,,2225,390,,,,,,,,,,,,
Mercedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,
Merlo,460,326,293,,15563,5545,19016,5960,,,,528,,,,275,,233,689,974,1511,18057,286,16935,,353,980,2265,569,2035,,457770,18221,28640,150,,106,,1141,883,,114,4234,1154,
Moreno,,732,561,,11759,4988,9920,3646,86,172,,,,506,,386,,194,4038,3653,1916,4797,7028,5656,151,308,233,1266,1708,202,175,18873,389557,12049,2629,,1043,832,675,13702,,2645,2147,1391,
Moron,546,387,,,17234,8789,19763,9403,,,,300,,185,,1019,,,176,2411,22853,31208,1070,61740,,497,365,,884,379,,27838,11939,271001,418,76,696,179,980,3273,,806,20916,2648,
Pilar,251,570,,,13701,5930,1275,1215,155,,,178,,29152,381,,,,,2150,355,618,3840,1219,,684,,636,12860,,,150,3006,494,351967,,,2413,6613,5582,,6968,2277,4030,
Pte. Peron,9676,281,59,,2961,697,1006,564,,,,723,,,,106,,,,105,,,,373,39,1800,2616,,,,,,,76,,51628,237,,,126,3052,64,,152,
Quilmes,17382,36679,34865,,43073,4634,12684,3363,,,,963,,209,,124,29435,,585,244,130,,,2218,3738,11016,8378,,149,,,106,1043,815,,237,486278,221,288,,,194,1088,348,
San Fernando,,153,,,7203,4215,4104,2728,,,,,,1917,,,102,,,1041,260,184,786,603,,210,,,1577,,,,1006,179,2193,,221,169569,31117,609,,24616,718,6338,
San Isidro,72,1035,476,,29532,13164,9227,8646,,,,185,,5662,,178,,,,18592,1050,1015,1318,2224,507,542,384,,9419,,,951,1200,1072,7447,,288,31520,287889,1128,,17115,2609,57197,175
General San Martin,1346,571,,,18443,22150,28919,9061,123,,,826,,1357,,630,499,,145,518521,3458,1086,3020,5049,120,272,777,,2706,,,1242,3877,2355,1502,105,259,1041,18792,7732,,2572,43908,19697,
San Miguel,81,137,,,6946,7626,4596,2017,,,,372,,95,,92,124,,107,7789,4865,1760,28644,1787,,862,344,138,22550,,,883,13694,3215,4898,126,,609,1024,245385,,3618,6020,2557,
San Vicente,2537,,,,234,,214,,,,,,,,,,205,,,,,,,516,,,152,,,,,,,,,3450,,,,,,,197,,
Tigre,,233,243,,8748,7563,6132,6112,245,,,414,,11705,,188,,,121,2385,101,708,4106,3983,125,581,401,178,18759,,,114,2721,806,4797,64,194,23374,17410,3686,,344075,1448,9379,208
Tres De Febrero,100,340,215,,21460,10826,42491,10858,100,,,185,,,,704,,,,43861,4976,1380,2201,20356,,157,264,,751,,,4098,1981,21466,1853,,1088,432,2994,5663,197,1341,274334,4760,
Vicente Lopez,624,701,697,,35188,45755,21125,20089,896,,,277,,3209,,349,530,,,17657,1280,673,1181,5624,185,1658,412,,12110,,,1447,1703,2222,5069,81,706,6253,57467,2904,,10250,4664,221834,200
Zarate,431,,240,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,175,,,208,,200,
