Partido,Lat,Long
Alte. Brown,-34.79777778,-58.38444444
Avellaneda,-34.67472222,-58.36638889
Berazategui,-34.76416667,-58.20861111
Berisso,-34.87416667,-57.86888889
Campana,-34.164282,-58.961132
Ca�uelas,-35.04722222,-58.76222222
Coronel Brandsen,-35.16777778,-58.2375
E. Etcheverr�a,-34.81916667,-58.46583333
Ensenada,-34.8575,-57.90777778
Escobar,-34.34583333,-58.79416667
Exaltaci�n De La Cruz,-34.29388889,-59.09944444
Ezeiza,-34.85416667,-58.52472222
Florencio Varela,-34.79666667,-58.27472222
General Las Heras,-34.93333333,-58.95
General Rodriguez,-34.60888889,-58.95333333
General San Martin,-34.57361111,-58.53166667
Hurlingham,-34.58694444,-58.62805556
Ituzaingo,-34.66027778,-58.66611111
Jose C. Paz,-34.51916667,-58.73472222
La Matanza,-34.6775,-58.56111111
La Plata,-34.92111111,-57.95444444
Lanus,-34.7,-58.4
Lomas De Zamora,-34.76666667,-58.4
Lujan,-34.56611111,-59.115
Malvinas Argentinas,-34.50777778,-58.70583333
Marcos Paz,-34.78222222,-58.83805556
Mercedes,-34.65083333,-59.43138889
Merlo,-34.66777778,-58.73583333
Moreno,-34.65138889,-58.79
Moron,-34.65,-58.61666667
Pilar,-34.45222222,-58.90138889
Pte. Peron,-34.91777778,-58.37916667
Quilmes,-34.72,-58.25444444
San Fernando,-34.44361111,-58.55861111
San Isidro,-34.46972222,-58.52083333
San Miguel,-34.55944444,-58.73444444
San Vicente,-34.96666667,-58.36666667
Tigre,-34.42277778,-58.56694444
Tres De Febrero,-34.58611111,-58.59833333
Vicente Lopez,-34.50555556,-58.48611111
Zarate,-34.100158,-59.035344
CABA Centro,-34.6078,-58.37202778
CABA Sur,-34.649065,-58.446379
CABA Oeste,-34.609778,-58.484454
CABA Norte,-34.559748,-58.457674
