Partidos,Alte. Brown,Avellaneda,Berazategui,Berisso,CABA Centro,CABA Norte,CABA Oeste,CABA Sur,Campana,Ca�uelas,Coronel Brandsen,E. Etcheverr�a,Ensenada,Escobar,Exaltaci�n De La Cruz,Ezeiza,Florencio Varela,General Las Heras,General Rodriguez,Hurlingham,Ituzaingo,Jose C. Paz,La Matanza,La Plata,Lanus,Lomas De Zamora,Lujan,Malvinas Argentinas,Marcos Paz,Mercedes,Merlo,Moreno,Moron,Pilar,Pte. Peron,Quilmes,San Fernando,San Isidro,General San Martin,San Miguel,San Vicente,Tigre,Tres De Febrero,Vicente Lopez,Zarate
Alte. Brown,450542,7282,953,,30706,5765,7998,3365,,,313,13705,85,283,,3383,9245,,,73,318,88,2829,307,10848,62982,,505,,,460,,546,251,9676,17382,,72,1346,81,2537,,100,624,431
Avellaneda,7183,274535,3680,,58860,5305,20442,4139,,,,1986,,208,,964,5886,,,,,,4692,1507,37959,13714,,,,,326,732,387,570,281,36679,153,1035,571,137,,233,340,701,
Berazategui,815,3947,322387,,17522,2772,7119,336,,116,,229,,98,,715,19012,,139,,,,73,2871,2158,1457,,,,,293,561,,,59,34865,,476,,,,243,215,697,240
Berisso,,301,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABA Centro,29648,59071,18577,,770365,222948,380039,73751,295,517,,10830,,5889,263,6160,15957,288,,6343,7468,4647,66559,472,52104,38527,,7730,143,,15563,11759,17234,13701,2961,43073,7203,29532,18443,6946,234,8748,21460,35188,
CABA Norte,5400,4099,2023,,193071,588165,189948,23345,,,,1517,,1542,,2495,3295,,,2995,2381,3098,22329,,6602,7194,693,9139,,,5545,4988,8789,5930,697,4634,4215,13164,22150,7626,,7563,10826,45755,
CABA Oeste,8324,19407,6666,,371164,201438,941829,153950,635,256,,5050,,5746,,3832,6187,233,,8889,7096,4994,76595,225,21842,24296,687,4259,,,19016,9920,19763,1275,1006,12684,4104,9227,28919,4596,214,6132,42491,21125,
CABA Sur,3885,6452,1145,,98660,111604,170587,366322,266,,,3215,87,1371,,1902,2415,,259,2798,1593,1481,79605,769,8949,15826,269,3128,,,5960,3646,9403,1215,564,3363,2728,8646,9061,2017,,6112,10858,20089,
Campana,,,,,295,,635,266,,,,,,2366,,,,,,,,,171,,,238,,,,,,86,,155,,,,,123,,,245,100,896,
Ca�uelas,,,116,,517,,256,,,,,342,,,,1281,168,108,,,,,498,,,248,,,,,,172,,,,,,,,,,,,,
Coronel Brandsen,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Etcheverr�a,13309,1821,229,,10808,2220,4902,2765,,342,,274551,,478,,17845,504,,230,88,329,,5131,1185,5329,26297,,,,,528,,300,178,723,963,,185,826,372,,414,185,277,
Ensenada,85,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
