Year,Month,Start,End,Min,Duration
1999,7,16/07/1999,18/07/1999,1.90,2
1999,8,13/08/1999,15/08/1999,0.20,2
2000,7,11/07/2000,20/07/2000,1.30,9
2000,7,22/07/2000,26/07/2000,1.20,4
2000,8,10/08/2000,12/08/2000,2.00,2
2001,6,19/06/2001,23/06/2001,2.80,4
2002,6,10/06/2002,16/06/2002,0.50,6
2002,6,21/06/2002,25/06/2002,0.20,4
2002,7,06/07/2002,10/07/2002,0.20,4
2003,7,11/07/2003,13/07/2003,1.20,2
2003,7,22/07/2003,26/07/2003,2.90,4
2003,8,27/08/2003,29/08/2003,2.60,2
2004,7,15/07/2004,17/07/2004,2.20,2
2005,7,05/07/2005,07/07/2005,1.90,2
2005,7,17/07/2005,19/07/2005,2.30,2
2005,8,06/08/2005,09/08/2005,2.80,3
2005,9,11/09/2005,13/09/2005,2.80,2
2006,5,19/05/2006,23/05/2006,1.40,4
2006,7,30/07/2006,02/08/2006,0.30,3
2006,9,03/09/2006,05/09/2006,2.00,2
2007,5,28/05/2007,30/05/2007,0.10,2
2007,6,15/06/2007,18/06/2007,0.60,3
2007,7,08/07/2007,12/07/2007,0.30,4
2007,7,25/07/2007,30/07/2007,0.80,5
2008,5,29/05/2008,31/05/2008,1.10,2
2009,6,24/06/2009,27/06/2009,-0.30,3
2009,7,22/07/2009,26/07/2009,1.40,4
2009,7,28/07/2009,31/07/2009,1.80,3
2010,7,12/07/2010,17/07/2010,-0.60,5
2010,8,01/08/2010,05/08/2010,0.80,4
2011,6,26/06/2011,30/06/2011,1.80,4
2011,7,01/07/2011,06/07/2011,-0.50,5
2011,7,30/07/2011,02/08/2011,1.50,3
2011,8,20/08/2011,23/08/2011,1.40,3
2012,6,05/06/2012,10/06/2012,0.30,5
2012,7,05/07/2012,07/07/2012,2.20,2
2012,7,10/07/2012,17/07/2012,0.40,7
