nombre,clat,clong
aaaa, 0,0
RETIRO,-34.5923,-58.375
ADUANA,-34.6114,-58.3691
DERECHO,-34.5837,-58.3912
PLAZA ROMA,-34.6016,-58.3694
PLAZA ITALIA,-34.5802,-58.4207
PARQUE LEZAMA,-34.628,-58.3699
OBELISCO,-34.6063,-58.3811
CONGRESO,-34.6098,-58.3893
PARQUE LAS HERAS,-34.585,-58.4076
UCA PUERTO MADERO,-34.616,-58.3657
TRIBUNALES,-34.6013,-58.385
PLAZA VICENTE LOPEZ,-34.5934,-58.3897
ONCE,-34.6095,-58.4076
PACIFICO,-34.5775,-58.4262
VIRREY CEVALLOS,-34.6228,-58.3889
PLAZA HOUSSAY,-34.599,-58.3982
PLAZA DE MAYO,-34.6099,-58.3747
PLAZA ALMAGRO,-34.6059,-58.4195
CMD,-34.6543,-58.3804
INDEPENDENCIA,-34.6179,-58.3805
PLAZA SAN MARTIN,-34.595,-58.3783
DISTRITO AUDIOVISUAL,-34.5804,-58.4424
PARQUE PATRICIOS ,-34.6381,-58.4103
ARENALES,-34.5941,-58.3826
SUIPACHA,-34.6002,-58.3792
ALSINA ,-34.6106,-58.3809
EMMA DE LA BARRA,-34.6005,-58.3637
PLAZA G�EMES,-34.5896,-58.4164
MONTEVIDEO,-34.5995,-58.3897
PLAZA BOEDO,-34.623,-58.4123
PLAZA EMILIO MITRE,-34.5884,-58.3977
PARQUE CENTENARIO,-34.608,-58.4345
