Estacion,RETIRO,ADUANA,DERECHO,PLAZA ROMA,PLAZA ITALIA,PARQUE LEZAMA,OBELISCO,CONGRESO,PARQUE LAS HERAS,UCA PUERTO MADERO,TRIBUNALES,PLAZA VICENTE LOPEZ,ONCE,PACIFICO,VIRREY CEVALLOS,PLAZA HOUSSAY,PLAZA DE MAYO,PLAZA ALMAGRO,CMD,INDEPENDENCIA,PLAZA SAN MARTIN,DISTRITO AUDIOVISUAL,PARQUE PATRICIOS ,ARENALES,SUIPACHA,ALSINA ,EMMA DE LA BARRA,PLAZA GšEMES,MONTEVIDEO,PLAZA BOEDO
RETIRO,11578,10384,21394,21302,10808,5918,4915,3496,13969,22081,5097,5106,1682,7655,1149,2709,6501,1243,62,2720,991,599,130,441,1516,563,4161,1682,51,1
ADUANA,11687,14300,4277,5845,2154,5966,3554,2819,3435,7667,2951,2155,1414,1512,769,1741,2901,1126,21,1566,963,95,148,208,798,644,675,143,32,
DERECHO,18500,2346,12940,4721,10064,1245,1221,1682,8030,2772,2270,3675,1450,9198,310,1645,996,1468,3,582,1112,449,177,567,486,116,514,878,17,
PLAZA ROMA,18131,4847,6181,18138,4310,5526,3774,2224,5740,12005,3032,3612,1610,2433,1128,2095,4495,1537,60,2647,1602,177,177,568,864,508,3660,607,38,1
PLAZA ITALIA,4519,921,7610,2815,16677,540,726,1089,3336,1121,722,2315,898,3117,346,1351,449,1533,3,418,751,432,85,351,339,174,101,782,9,
PARQUE LEZAMA,4115,5760,1867,5004,588,16457,1819,2199,993,4209,1242,828,1313,670,1051,1123,1898,999,220,1467,475,62,253,154,459,214,529,112,11,1
OBELISCO,7668,3407,2543,4441,1633,2753,15745,5076,3098,2342,4560,3199,5878,1187,2709,3500,3742,3570,60,5746,2461,212,401,768,1259,766,271,425,95,3
CONGRESO,3705,2705,1897,2842,1668,3442,3985,11593,2709,2779,3812,3416,5226,1420,6131,3099,5566,3443,79,4442,1464,297,980,492,1244,669,228,651,109,3
PARQUE LAS HERAS,6902,1545,6672,4959,4072,853,1490,2241,15616,2405,2531,4201,2239,4108,549,3297,1451,4317,10,1312,1841,593,398,732,756,157,297,950,36,3
UCA PUERTO MADERO,22550,5248,5990,9498,1836,4398,1882,2391,3611,14054,2310,4321,1004,1585,1209,1522,3631,1289,138,3369,795,71,243,397,474,246,1048,278,11,1
TRIBUNALES,7842,3042,4769,4530,1921,1913,4083,4567,3220,2728,10849,3232,3463,1479,1907,3486,5090,2447,80,2657,2478,166,224,599,1071,571,380,605,59,2
PLAZA VICENTE LOPEZ,6345,1526,6065,4823,3315,1184,2930,3543,5958,3277,3024,9029,2064,3384,1609,2441,2570,1437,84,1978,3733,240,157,1258,1719,348,529,942,55,
ONCE,1030,1249,903,1743,939,1569,3633,4550,1773,632,2424,1451,5196,1057,1792,3784,4890,1995,140,1660,1162,172,503,446,910,702,60,686,58,3
PACIFICO,2901,614,6733,1925,3808,572,456,686,4250,493,784,2186,1063,13879,405,2107,741,2144,2,437,592,774,239,210,302,101,130,1105,12,1
VIRREY CEVALLOS,857,1016,357,1148,524,2136,2293,5152,791,1342,1657,1076,1701,316,5080,1678,2788,852,46,1476,613,71,523,108,339,311,294,134,70,1
PLAZA HOUSSAY,3272,878,2642,2812,2529,1457,2516,3154,4723,1394,2856,2435,5438,3007,2830,8005,2778,3742,54,2334,2096,479,417,481,956,323,222,1060,74,2
PLAZA DE MAYO,6098,4426,1537,6804,808,4132,4042,4263,1665,6186,4508,1866,4021,873,2451,2743,13226,1951,72,4444,2539,86,322,518,1714,821,1548,285,102,1
PLAZA ALMAGRO,501,788,1717,1280,2277,841,1625,3160,3996,807,1748,995,2828,2090,1264,2732,3520,8687,22,1705,619,657,703,106,582,537,56,1110,14,5
CMD,30,8,7,12,,120,25,25,15,36,6,19,12,3,31,14,37,30,143,25,1,2,15,1,2,9,1,2,,
INDEPENDENCIA,3526,1773,969,2666,624,2344,5210,4788,1807,2967,2390,1738,2547,641,1785,2366,4120,2211,67,6682,2025,132,635,594,1646,876,271,326,71,11
PLAZA SAN MARTIN,2004,1409,2056,3154,1362,846,2737,1809,2513,2078,2339,3103,1379,1150,712,1774,3516,857,18,1841,5349,271,85,604,873,494,541,348,39,
DISTRITO AUDIOVISUAL,145,27,309,89,358,31,94,231,919,27,88,216,253,635,92,424,156,678,4,70,76,969,12,85,375,63,11,277,8,
PARQUE PATRICIOS ,44,106,38,59,70,239,140,478,268,185,81,74,532,251,353,231,237,627,23,150,52,61,1795,18,90,82,33,245,5,1
ARENALES,1157,314,1054,1185,484,322,901,691,1750,677,664,1572,592,734,221,725,907,407,3,791,832,223,214,1565,1049,561,440,666,34,1
SUIPACHA,1896,898,760,1182,261,462,1336,1278,848,482,1055,1308,959,407,486,988,2202,682,5,1453,865,248,188,742,4264,880,673,367,57,2
ALSINA ,852,660,309,754,161,483,935,816,357,392,706,410,839,237,305,534,1026,525,22,846,382,134,105,478,1261,1788,180,178,32,1
EMMA DE LA BARRA,4613,423,491,2731,317,676,433,285,717,1164,254,409,200,421,125,203,830,151,4,500,311,40,40,106,623,90,3206,237,11,
PLAZA GšEMES,780,107,921,533,1035,106,222,421,1296,237,422,908,514,1164,188,829,453,1071,5,332,392,379,213,385,536,165,143,2312,23,1
MONTEVIDEO,61,41,57,75,24,40,63,163,75,19,54,72,76,35,133,122,114,85,2,88,38,18,11,51,103,29,9,71,224,1
PLAZA BOEDO,,,,,,,1,,2,1,2,,2,1,1,,4,2,,1,,,,1,2,,,2,,7
